Date,Segment 1 - Sandesh Brand 3Sandesh Brand 3BroadbandTortoiseNet Migrations - Tortoise,Segment 1 - Sandesh Brand 3Sandesh Brand 3BroadbandFalconNet Migrations - Falcon,Segment 1 - Sandesh Brand 3Sandesh Brand 3BroadbandTortoiseGross Adds - Tortoise,Segment 1 - Sandesh Brand 3Sandesh Brand 3BroadbandFalconGross Adds - Falcon,Segment 1 - Sandesh Brand 3Sandesh Brand 3BroadbandTortoiseLeavers - Tortoise,Segment 1 - Sandesh Brand 3Sandesh Brand 3BroadbandFalconChurn - Falcon
2019-04-01,-0.4509740474451878,0.6893847237529616,-0.2195501688515808,0.10501590102174643,0.295872995563847,1.7676490459263676
2019-05-01,-1.6094065119714742,0.7157140600785731,-0.5041551200496003,0.7253529492109076,0.4259666967374654,2.3426343805946663
2019-06-01,-0.41070914156688726,0.39513459436359677,-0.27838825664107647,0.7600909405738389,0.3299100200774769,2.4316683350048756
2019-07-01,-0.3025987045832457,0.4552966687055251,0.14355062239189387,0.8348980406387558,0.3843939434569276,2.526294876254106
2019-08-01,-0.8613091620223269,1.1059126065845875,-0.14419844626798564,0.4508075989035357,0.36162916264859823,1.2538778732550058
2019-09-01,-1.0173575655247988,1.061633497758142,-0.42689208284644503,0.6069072401311504,0.41725239829271077,2.3503151534275313
2019-10-01,-1.1617714080059882,1.0731368077280283,-0.2860697286150832,1.0046170692924996,0.5009887430435912,3.420802606130868
2019-11-01,-0.803786403377285,1.4466596843487416,-0.20690351781079575,1.0279333206008745,0.34284547893562656,3.0079840462337675
2019-12-01,-0.40259179106371074,1.1227736739946328,-0.4747532003660287,0.7461109484706407,0.3251248520804107,3.1235654216631508
2020-01-01,-0.5380365229183071,0.7861642531378576,-0.5896295674177111,0.8339962373520043,0.33151223090480125,2.313484445512601
2020-02-01,-0.39055755687382054,1.0989772374969542,-0.5175852739328899,1.02338698012507,0.33524140272993624,3.728215487266164
2020-03-01,-0.5690753029098549,1.257987958458659,-0.4827551898500424,1.0103778019071998,0.21575850021356727,4.144251462769369
